Year,Bw,Bs,Ba,ELA,Bw_Date,Ba_Date,Calibration
1966,1.58,-2.15,-0.57,1211,1966/05/08,1966/09/17,-0.53
1967,1.44,-2.74,-1.30,1319,1967/04/07,1967/09/05,-0.53
1968,1.88,-2.77,-0.89,1263,1968/05/10,1968/09/25,-0.53
1969,2.24,-2.05,0.19,1166,1969/05/22,1969/09/26,-0.53
1970,3.48,-1.74,1.74,982,1970/05/08,1970/09/18,-0.53
1971,2.91,-2.61,0.30,1107,1971/06/02,1971/09/30,-0.53
1972,1.05,-2.10,-1.05,1307,1972/05/27,1972/09/25,-0.53
1973,2.40,-1.95,0.45,1064,1973/06/06,1973/09/05,-0.53
1974,1.56,-2.79,-1.23,1305,1974/05/15,1974/09/30,-0.53
1975,2.21,-2.32,-0.11,1167,1975/05/26,1975/09/27,-0.53
1976,1.45,-2.22,-0.77,1262,1976/05/23,1976/09/06,-0.53
1977,3.61,-1.63,1.98,1063,1977/05/24,1977/09/27,-0.53
1978,2.59,-1.78,0.81,1115,1978/05/09,1978/09/29,-0.53
1979,1.85,-3.17,-1.32,1323,1979/05/23,1979/09/23,-0.53
1980,4.76,-2.64,2.12,964,1980/05/29,1980/10/01,-1.01
1981,6.72,-3.14,3.58,934,1981/04/20,1981/09/11,-1.01
1982,2.17,-2.58,-0.41,1183,1982/05/12,1982/09/28,-1.01
1983,2.08,-2.66,-0.58,1182,1983/04/22,1983/09/23,-1.01
1984,1.76,-2.23,-0.47,1185,1984/05/06,1984/09/29,-1.01
1985,2.13,-1.98,0.15,1089,1985/05/20,1985/09/17,-1.01
1986,2.45,-2.97,-0.52,1153,1986/05/18,1986/10/03,-1.01
1987,3.43,-2.12,1.31,1021,1987/05/02,1987/09/11,-1.01
1988,2.85,-1.93,0.92,1012,1988/05/04,1988/09/14,-1.01
1989,1.44,-3.16,-1.72,1289,1989/04/17,1989/09/29,-1.01
1990,1.18,-3.69,-2.51,1400,1990/04/05,1990/09/21,-1.01
1991,2.02,-2.58,-0.56,1210,1991/05/15,1991/09/23,-1.01
1992,1.99,-2.33,-0.34,1186,1992/05/08,1992/09/18,-1.01
1993,2.57,-3.42,-0.85,1230,1993/04/21,1993/09/19,-1.01
1994,2.15,-2.68,-0.53,1193,1994/05/24,1994/09/16,-1.01
1995,2.44,-3.10,-0.66,1204,1995/04/26,1995/09/27,-1.01
1996,1.26,-3.03,-1.77,1320,1996/04/27,1996/09/15,-1.01
1997,1.91,-3.98,-2.07,1338,1997/05/03,1997/09/26,-1.01
1998,2.89,-2.18,0.71,1082,1998/05/19,1998/10/07,-1.01
1999,1.86,-2.83,-0.97,1231,1999/05/11,1999/09/17,-1.01
2000,2.14,-1.62,0.52,1131,2000/04/27,2000/09/29,-1.01
2001,3.38,-3.04,0.34,1087,2001/05/08,2001/09/22,-1.01
2002,2.50,-3.02,-0.52,1201,2002/04/20,2002/09/13,-1.01
2003,1.98,-2.15,-0.17,1200,2003/04/23,2003/10/06,-1.01
2004,2.05,-4.48,-2.43,1349,2004/04/27,2004/09/19,-1.01
2005,1.99,-3.73,-1.74,1284,2005/04/15,2005/09/26,-1.01
2006,2.77,-3.63,-0.86,1208,2006/05/18,2006/09/20,-1.01
2007,1.99,-2.62,-0.63,1228,2007/05/04,2007/10/22,-0.72
2008,3.94,-2.71,1.23,1060,2008/05/17,2008/09/17,-0.72
2009,1.67,-3.30,-1.63,1320,2009/04/25,2009/10/18,-0.72
2010,2.49,-2.17,0.32,1130,2010/05/14,2010/09/28,-0.72
2011,2.06,-3.21,-1.15,1288,2011/05/24,2011/09/04,-0.72
2012,2.87,-1.54,1.33,1076,2012/05/20,2012/09/03,-0.72
2013,1.99,-3.76,-1.77,1327,2013/05/21,2013/09/18,-0.72
2014,1.44,-3.21,-1.77,1313,2014/04/26,2014/10/02,-0.72
2015,2.19,-3.04,-0.85,1237,2015/05/09,2015/09/09,-0.72
2016,3.74,-3.88,-0.14,1193,2016/05/09,2016/10/15,-0.72
2017,1.64,-2.72,-1.08,1270,2017/05/29,2017/09/30,-0.72
2018,1.61,-3.49,-1.88,1368,2018/05/25,2018/10/02,-0.72
2019,2.54,-4.01,-1.47,1258,2019/05/11,2019/09/19,-0.72
2020,1.44,-3.27,-1.83,1338,2020/04/15,2020/09/17,-0.72
2021,1.73,-2.66,-0.93,1237,2021/04/14,2021/09/19,-0.72
2022,2.05,-3.23,-1.18,1241,2022/05/02,2022/09/21,-0.72
